index,s1,r,s2
0,Harry Reasoner,of,Energy Transportation trial
1,Forecasting,is,Litigation Sciences
2,interviews,of,jurors
3,master 's degree,in,classical arts
3,master 's degree,works in,deli
4,Litigation Sciences,represents,defense
6,Litigation Sciences,is,law
7,Sciences,employs more,100 psychologists
8,Pennzoil,win,billion jury verdict
8,billion jury verdict,against,Texaco Inc
10,recall,of,mushrooms
11,China,exported,65 million pounds
12,spokesman,for,Chinese Embassy
13,management turnover,at,Reebok International
13,management,resignation,company president
14,departure,follows,two months
14,Mark Goldston,resignation,senior vice president
14,Mark Goldston,as,officer
14,11,at,months
16,Passport applicants,must give,Social Security numbers
17,IRS computers,focus,target groups
18,IRS,are,local
19,national office,currently has,21 noncriminal audit projects
19,Marshall V. Washburn,for,examination
20,Lipstein,absence,meeting
21,Lipstein,in,telephone interview
21,telephone interview,from,New York
22,president,of,Meredith
23,American Express Publishing,unit of,groups
24,Tharp,fouled,net
24,net,on,special IRS project
25,Tharp,pleaded,guilty
26,airline pilots,invested,racehorses
27,IRS,won,Church of Scientology
27,Church of Scientology,over,exemptions
27,members ' payments,to,services
28,hiders,of,income
28,income,among,businesses
29,Telemedia,will publish,Eating Well
30,issue,of,9 Months
30,magazine,for,American Home
31,Time Warner,developing,Time magazine
33,Schwartz,is a,business executive
33,Schwartz,a,writer
33,writer,in,New York
34,Matt Merola,an,agent
34,agent,of,Jackson
34,Jackson,based in,New York
36,Jackson,won,nickname
36,October,for,World Series
36,autograph collectors,for,500 each
37,dealer,in,Ames
38,designed,finance,restructuring
39,Ramada,hopes to propose,new restructuring plan
40,Shares,of,American Medical International
40,American Medical International,agreed,lower price
41,group,is offering,a share
41,a share,for,63 million American Medical shares
41,28 a share,in,shares
41,28 a share,for,million shares
43,McCaw,is offering,125 a share
43,125 a share,for,22 million LIN shares
43,proposal,to,television properties
44,LIN shares,among,few takeover issues
44,few takeover issues,did,fall
45,BellSouth,viewed,corporate buyer
46,Rattner,of,Lazard
47,sales contracts,of,Freeport Uranium Recovery Co. unit
49,Alan Gaines,of,New York money-management firm Gaines Berland
50,merger specialist,with,Lazard Freres & amp ; Co
51,Campeau,hit,setbacks
51,setbacks,for,junk bond market
52,Diane S. Killory,will join,Morrison & amp ; Foerster
52,Morrison & amp ; Foerster,as,a partner
53,firm,develop,practice
54,Killory,resigned as,Federal Communications Commission general counsel
55,first woman,appointed,FCC general counsel
57,EC,largest,steel suppliers
58,5,supplying,market
59,Japan,been,shipping steel
60,EC,had,quota
60,quota,increased,tons
61,Japan,agreed,quota
62,records,relating to,architects
62,construction workers,from out,New York
63,director,of,division
64,Schmedel,is,editor
64,editor,of,The Wall Street Journal
65,market test,in,Denver
66,hook consumers,on,detergent
67,Cheer,is,unique formula
67,formula,offers,ingredient
68,Hugh Zurkuhlen,an,analyst
68,analyst,at,Salomon Bros
70,current accord,concerning,military bases
71,extradition,of,Mohammed Rashid
71,Mohammed Rashid,a,Palestinian terrorist
71,1982 bombing,of,Pan American Airways flight
72,Greek courts,decided,favor of extradition
73,80,of,100 million tons
73,100 million tons,used annually by,nation
74,15,to,foreign suppliers
75,countries,do,steel quotas
75,Argentina,supplied,steel
76,countries,made,informal agreements
78,Golden Gate Bridge,connects,San Francisco
80,Charles Catania,an,insurance broker
80,insurance broker,on,bus
80,bus,from,Mill Valley
82,Rubins,in,regular jobs
82,sideline,as,real business
83,Direct Selling Association,a,trade group
83,members,include,IRS
84,project,involves,350 IRS agents
85,Raymond P. Keenan,ended,assistant commissioner
85,assistant commissioner,for,30
85,67 million,in,delinquent employment taxes
86,IRS,manages,IRS project
86,IRS,of,north and central Florida
87,Retailers,in,Phoenix
88,A P & amp ; G spokeswoman,confirmed,shipments
88,shipments,to,Phoenix
89,company,introduced,superconcentrated Lemon Cheer
89,Lemon Cheer,in,Japan
90,Attack,hit,share
90,share,of,1987
90,share,fell to,8
91,science,went,1977
92,Barr,for,IBM trial lawyers
94,IBM,won,case
95,Enron,considering building,power plants
95,cost,of,300 million
97,Quantum,prices,profit
98,Quantum,with,investment
98,transaction,valued,billion
99,Petrolane,is,propane distributor
100,Suburban Propane,owned by,Quantum
101,traffic jams,on,freeways
102,massive temblor,killed,61 people
102,massive temblor,severed,Bay Bridge
102,ramps,leading,Highway 101
103,several weeks,to,repair
104,Area Rapid Transit subway system,carried,50 % more passengers
105,UAL,fell,a share
105,time,take,purchase
106,annual cost concessions,in,concessions
107,UAL management,to pay,15 million
107,15 million,for,10
108,Citicorp,fell through,bank financing
109,UAL stock,fallen,33
109,collapse,of,takeover stock
111,Automatic Data,redeeming,bonds
112,Dow Jones & amp,extended,tender offer
112,tender offer,of,18 a share
113,two independent directors,rejected,inadequate
114,Dow Jones,extended,offer
114,offer,allow,shareholders
116,Quantum,confronts,disaster
116,disaster,at,plant
116,plant,in,Morris
117,production halt,at,plant
117,halt,introduce,financial future
118,claims,under,insurance
119,Fulbright & amp ; Jaworski,of,Houston
119,affiliating,are,affiliating
120,Gibson Gayle,of,Fulbright
122,arrangement,reached,negotiations
123,Shere,draw,cookbook
123,cookbook,published by,Random House
127,price,more,other commodity plastics
129,own plants,cover,ethylene needs
130,China,putting in,orders
130,orders,for,polyethylene
131,Slick graphics,for,effectiveness
131,effectiveness,play,Litigation Sciences
133,Stephen Gillers,a,legal ethics expert
133,legal ethics expert,at,New York University law school
135,lawyer,paid,consultant
136,period,included,gain
136,gain,was,77 million
136,money management,of,Co
137,1988 period,restated from,net income
137,net income,of,8 million
138,Shearson,had,net income
138,net income,of,55 million
139,Shearson shares,lost,cents
140,Bank,decided,commercial bank financing
140,airliners,of,Avianca
141,Mexico,exported,average
141,average,of,barrels
141,barrels,of,crude
141,eight months,of,billion
142,New orders,for,durable goods
142,orders,fell back,slightly
143,Sally Kleinman,an,economist
143,economist,at,Manufacturers Hanover Securities
143,Manufacturers Hanover Securities,in,New York
144,Orders,for,military goods
145,durable goods report,adjusted,seasonal fluctuations
146,president,of,pipeline
147,market,in,1985
148,TransCanada,transports,gas
148,gas,moves eastward from,Alberta
149,vice president,of,Gas
149,Gas,a,gas marketing concern
150,jail,residing in,jail cell
151,Papandreou,received,questions
151,state agencies,ordered,state agencies
152,Two former ministers,implicated,Parliament
152,members,voted,refer
153,Carpenter,a,regional correspondent
153,regional correspondent,for,National Review
154,federal appeals court,in,San Francisco
154,federal,hold,officials liable
155,1984 suit,stems from,shareholders
155,shareholders,of,Apple Computer
156,Boston Edison,will take,60 million charge
156,60 million charge,against,fourth quarter
157,charge,resulted from,settlement
157,settlement,approved,Public Utilities
158,settlement,limits,rate increases
158,rate increases,for,three years
158,rate,ties,future charges
159,Pilgrim,been closed,32 months
161,jury,in,1986
162,jury,awarded,USFL
163,Court of Appeals,in,New York
163,Court of Appeals,upheld,million award
164,Harvey D. Myerson,of,Myerson & amp ; Kuhn
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn
165,award,directly,USFL
