index,s1,r,s2
3,Fortune reports,funding,beef pilot programs
4,chef / owner Ren é Redzepi,announced,restaurant manager James Spreadbury
4,chef / owner Ren é Redzepi,announced,service director Lau Richter
4,staff members New partners partners,close,New partners
5,Amazon,employed,United States
6,Saudi,owned,Saudi
6,Saudi,owned,saffron rice
6,Saudi,owned,lamb skewers
7,Sandy wife Sandy,purchased,Blackberry Farm
8,Munich Environmental Institute,discovered,country 's beer
8,Munich Environmental Institute,in,country 's beer
10,burglar,imbibing in,brewery Oskar Blues
10,solace,imbibing in,brewery Oskar Blues
10,Dale 's Pale Ale,imbibing in,Colorado
10,Dale 's Pale Ale,imbibing in,brewery Oskar Blues
10,Dale 's Pale Ale,from,brewery Oskar Blues
10,Dale 's Pale Ale,based,brewery Oskar Blues
13,Chipotle attempts,talk,Chipotle employees
13,Chipotle act,talk,Chipotle employees
13,Chipotle,talk,Chipotle employees
14,Flynn 's identity,tonight,Top Chef
14,Flynn 's identity,hit,Top Chef
14,Flynn 's identity,revealed on,Top Chef
15,dreary,rule,America
15,dreary,rule,PepsiCo PepsiCo Or
18,Sentinel,scan for,coli
18,Sentinel,scan for,salmonella
18,Sentinel,scan for,born microorganisms
18,device,scan for,coli
18,Blue Bell Creameries,recalled bagged,one person
19,New Nordic pioneer chef Ren é Redzepi,announced,Ren é Redzepi
19,pricey pop,sold,people
20,Richmond,was fired by,KFC restaurant manager
20,Georgia Carter,contacted,TV station
20,Georgia Carter,contacted,Richmond
20,restaurant 's management,identified,bathroom Georgia Carter
20,Georgia Carter driver 's license,identified,bathroom Georgia Carter
