index,s1,r,s2
0,autonomous A7,at,2015 Consumer Electronics Show
0,San Fran,at,2015 Consumer Electronics Show
0,Las Vegas,at,2015 Consumer Electronics Show
0,Audi,at,2015 Consumer Electronics Show
0,Prologue Piloted Driving Concept,in,LA last year
0,zFAS,at,2015 Consumer Electronics Show
0,The hybrid setup,in,LA last year
0,autonomous A7,from,San Fran
0,San Fran,to,Las Vegas
0,San Fran,to,Audi
0,Las Vegas,has unveiled,another self-driving concept
0,Audi,has unveiled,another self-driving concept
0,another self-driving concept,at,2015 Consumer Electronics Show
0,Prologue Piloted Driving Concept,is based off,original Prologue
0,car,is based off,original Prologue
0,original Prologue,debuted in,LA last year
0,LA last year,comes packing,autonomous driving system
0,combination of video cameras,gathered is fed into,central controller
0,radar sensors,gathered is fed into,central controller
0,laser scanner and ultrasound sensors,gathered is fed into,central controller
0,information,gathered is fed into,central controller
0,central controller,known as,zFAS
0,zFAS,enabling,model
0,zFAS,enabling,autonomous A7
0,Power,comes from,4.0-liter twin-turbo V8
0,4.0-liter twin-turbo V8,mated to,eight-speed transmission
0,The hybrid setup,enables,car
0,The hybrid setup,enables,677 hp
0,The hybrid setup,enables,701 lb-ft of torque
0,3.5 seconds,while,car
0,car,returns,almost 30 mpg
1,BMW,shot down,reports it
1,reports it,was considering chopping,roof of M2
1,Swiss outfit Dahler Design & Technik,appear to be,first
1,Swiss outfit Dahler Design & Technik,appear to be,M2
1,Swiss outfit Dahler Design & Technik,appear to be,convertible
1,Swiss outfit Dahler Design & Technik,appear to be,project
1,first,s,year
1,M2,s,year
1,convertible,s,year
1,project,s,year
1,year,in,making
1,Adding,are,primary reasons
1,Adding,are,M2
1,Adding,are,car
1,weight and compromising structural rigidity,are,primary reasons
1,weight and compromising structural rigidity,are,M2
1,weight and compromising structural rigidity,are,car
1,primary reasons,built for,track-going enthusiasts
1,M2,built for,track-going enthusiasts
1,car,built for,track-going enthusiasts
1,issues,is,BMW
1,BMW,gave,open-top M2
1,open-top M2,comes,more power
1,more power,among,other things
1,Two states of tune,are on,offer
1,offer,lifts,output
1,365 hp,to,402 hp
1,365 hp,to,427 lb-ft of torque
1,369 lb-ft of torque ( with overboost ),to,402 hp
1,369 lb-ft of torque ( with overboost ),to,427 lb-ft of torque
1,402 hp,while,level 2
1,427 lb-ft of torque,while,level 2
1,level 2,gives,baby-M 419 hp
1,level 2,gives,450 lb-ft
1,level 2,gives,ability
1,level 2,gives,sub-four second 0-62 mph time
1,baby-M 419 hp,hit,187 mph top speed
1,450 lb-ft,hit,187 mph top speed
1,ability,hit,187 mph top speed
1,sub-four second 0-62 mph time,hit,187 mph top speed
1,A stainless-steel exhaust system,provides,throatier soundtrack
1,throatier soundtrack,although,silencer
1,M2,while,high performance brake system
1,high performance brake system,with,massive 400 mm discs
1,massive 400 mm discs,will keep,drivers
1,Other mods,include,set of CDC1 wheels
1,set of CDC1 wheels,staggered,20/21 inches
1,set of CDC1 wheels,staggered,MID display unit
1,set of CDC1 wheels,staggered,bespoke interior
1,20/21 inches,upon,request
1,MID display unit,upon,request
1,bespoke interior,upon,request
2,The reason crash,in,Ferrari factory
2,Alfa Romeo,in,Ferrari factory
2,Quadrifoglio model,in,Ferrari factory
2,Automotive engineers,work,butts
2,Automotive engineers,work,cars they
2,hundred plus years,that,humans
2,humans,have been building,cars
2,human error,is,main killer
2,main killer,of,cars
2,cars,on,road
2,case of smashed Alfa Romeo Giulia,found by,Autoblog Netherlands
2,Autoblog Netherlands,as,example
2,feels,is that,Alfa Romeo
2,Alfa Romeo,in,question
2,question,is,Quadrifoglio model
2,Quadrifoglio model,with,505 horsepower
2,505 horsepower,coming from,2.9 liters of twin-turbo real estate
2,2.9 liters of twin-turbo real estate,s forged in,Ferrari factory
2,place,involving,clover-branded Alfa Romeo
2,matters,crashed,car didn
2,46 year Italian man,crashed,car didn
2,record lap time,learning,limits of car
2,guy,s,only explanation
2,only explanation,is that,guy
2,cruise,in,four-door rear-wheel drive missile
3,V8 option,in,Volvo sedan platform
3,Ford,launched,first Expedition
3,Ford,launched,full-size big brother
3,first Expedition,to,Explorer
3,full-size big brother,to,Explorer
3,frame,at,time
3,SUVs,at,time
3,Today only Expedition,remains,true SUV
3,true SUV,while,Explorer
3,Explorer,has switched to,crossover
3,only Expedition,rides on,same platform
3,same platform,as,previous generation
3,Our tester,is powered by,twin-turbo 3.5-liter EcoBoost V6
3,fully loaded Expedition Platinum,is powered by,twin-turbo 3.5-liter EcoBoost V6
3,twin-turbo 3.5-liter EcoBoost V6,with,365 hp
3,twin-turbo 3.5-liter EcoBoost V6,with,420 lb-ft of torque
3,365 hp,with,power
3,420 lb-ft of torque,with,power
3,power,going to,four wheels
3,four wheels,through,automatic
4,Japan,in,National Art Center
4,Japan,in,Tokyo
4,Ferrari,in,National Art Center
