index,s1,r,s2
2,thousands,horn,facts
2,jurors,horn,facts
2,jurors,horn,case
2,thousands,horn,case
2,thousands,horn,thousands
2,jurors,horn,thousands
2,jurors,horn,jurors views
2,attitudes,horn,case
2,attitudes,horn,thousands
2,attitudes,horn,jurors views
5,consulting firm,helping,America prepare
8,billion jury verdict,against,Texaco Inc
9,National Football League,in,United States Football League
14,two months,of,Mark Goldston
14,resignation,of,Mark Goldston
15,payer,report,spouse 's Social Security number
15,deduction,report,spouse 's Social Security number
16,Social Security numbers,enabling,returns
17,IRS computers,assigned,projects
17,target groups,assigned,projects
17,target groups,assigned,attention
17,IRS,assigned,projects
18,workers,of,dependents frees
18,workers,of,tax withholding
18,workers,from,tax withholding
18,dependents frees,from,tax withholding
18,tax withholding,from,charter businesses
19,audit projects,according,deputy assistant commissioner
21,telephone interview,from,New York
23,publishing groups,by,Advance Publications
23,publishing groups,of,Advance Publications
25,Tharp,pleaded,one charge
25,Tharp,pleaded,return
25,Tharp,pleaded,18 months
26,losses,invested in,films
27,IRS,won,exemptions
27,IRS,won,Supreme Court
27,exemptions,received,return
27,church,received,return
31,spinoff,of,Time magazine
31,spinoff,of,Sports Illustrated
31,spinoff,aimed at,kids
31,spinoff,aimed at,heels
31,spinoff,aimed at,Sports Illustrated
31,spinoff,aimed at,Kids
31,spinoff,on,Sports Illustrated
32,consumer magazines,increased by,80 magazines
32,consumer magazines,increased by,president
32,consumer magazines,increased by,America
32,consumer magazines,of,80 magazines
32,consumer magazines,of,America
32,average,of,80 magazines
32,average,of,America
32,80 magazines,of,America
32,president,of,America
33,business executive,in,New York
35,Reggie Jackson,found,use
37,living ballplayer,done,Jack Smalling
37,living ballplayer,in,Iowa
37,Jack Smalling,in,Iowa
37,Jack Smalling,recognized,expert
37,Jack Smalling,recognized,baseball autographs
38,400 million junk bond sale,was designed,restructuring
40,Shares,of,Pritzker family
40,Shares,from,Pritzker family
40,American Medical International,agreed,Pritzker family
40,American Medical International,from,Pritzker family
40,price,from,Pritzker family
40,Pritzker family,fell,Friday
41,63 million American Medical shares,from,million shares
41,63 million American Medical shares,in,million shares
43,McCaw,offering,McCaw television properties
43,McCaw,offering,pay shareholders
43,McCaw,offering,dividend
43,McCaw,offering,telephone operations
43,McCaw,challenging,dividend
43,McCaw,challenging,telephone operations
43,McCaw,spin,dividend
43,McCaw,spin,telephone operations
43,22 million LIN shares,challenging,telephone operations
43,22 million LIN shares,spin,telephone operations
45,Traders,hurt,skittishness
45,Traders,financed,skittishness
45,investment bankers,hurt,skittishness
45,investment bankers,because,skittishness
45,investment bankers,financed,skittishness
45,LIN shares,hurt,skittishness
45,LIN shares,because,skittishness
45,LIN shares,financed,skittishness
45,BellSouth,financed,skittishness
45,well,financed,skittishness
47,Freeport,affect,Freeport
47,Freeport,under,Freeport
47,Freeport,under,McMoRan Freeport Uranium Recovery Co. unit
47,Freeport,of,McMoRan Freeport Uranium Recovery Co. unit
47,shutdown,affect,Freeport
47,shutdown,under,Freeport
47,shutdown,under,McMoRan Freeport Uranium Recovery Co. unit
47,shutdown,of,McMoRan Freeport Uranium Recovery Co. unit
47,term sales contracts,of,Freeport
47,term sales contracts,of,McMoRan Freeport Uranium Recovery Co. unit
50,news,with,Lazard Freres
50,bank debt market,with,Lazard Freres
50,merger specialist,with,Lazard Freres
52,Morrison,in,Washington
56,RICHARD P. MAGURNO,joined,New York law firm
56,lawyer,joined,New York law firm
58,EC steel industry,been supplying,5
62,state,combed through,New York City area
62,state,combed through,construction workers
62,architects,in,New York City area
62,stockbrokers,claim,income tax
62,lawyers,claim,income tax
62,New York City area,claim,income tax
62,construction workers,claim,income tax
62,state,claim,income tax
62,homeowners,claim,income tax
62,residents,of,income tax
63,lawyers,in,matching programs
63,state,of,matching programs
63,Frederick G. Hicks,of,matching programs
71,extradition,of,1982 bombing
71,extradition,of,Pan American Airways flight
71,extradition,wanted in,1982 bombing
71,extradition,for,1982 bombing
71,extradition,for,Pan American Airways flight
71,Mohammed Rashid,wanted in,1982 bombing
71,Mohammed Rashid,wanted in,Pan American Airways flight
71,Mohammed Rashid,for,1982 bombing
71,1982 bombing,of,Pan American Airways flight
73,100 million tons,of,steel
78,15 minutes,via,Golden Gate Bridge
78,15 minutes,with,North Bay area
78,Golden Gate Bridge,with,North Bay area
