index,s1,r,s2
"0","President Trump","impose tariffs on","European Union - made products"
"0","President Trump","impose tariffs on","Volkswagen"
"0","President Trump","impose tariffs on","BMW"
"1","America","ambassador to Germany","Richard Grenell"
"2","Trump","ordered a 25 percent tariff on","imported steel"
"2","Trump","10 percent tariff on","aluminum"
"3","Aston Martin","see the","Silverstone Circuit"
"4","Aston Martin","continue to maintain","Nurburgring Performance Center"
"5","Aston Aston Martin Lagonda","open a new central","London office"
"6","St. Athan","in","Wales"
"7","Mercedes","currently testing","electric vehicles"
"8","Mercedes","rolling the German automaker","hybrid technology"
"9","Mercedes","builds plug - in hybrid versions of","C - Class"
"9","Mercedes","builds plug - in hybrid versions of","GLC"
"9","Mercedes","builds plug - in hybrid versions of","GLE SUVs"
"10","system","mated with","Mercedes"
"11","CX-5","important model in","Mazda"
"12","Mazda","sold in","America"
"13","California Air Resources Board","shows","CX-5"
"14","CX-5","offered in two flavors in","America"
"15","Z06","garnered a lawsuit against","GM"
"16","2019 Corvette ZR1","potential","airbag deployment issue"
"17","Rush","Released in","2013"
"17","Rush","directed by","Ron Howard"
"17","Steve McQueen","’ s","Le Mans"
"18","Robert Lighthizer",",","US trade representative"
"18","Robert Lighthizer","announced","trade measures"
"18","trade measures","of","tariffs"
"18","25-percent tariff","on","Chinese - made cars"
"19","China","matching","25-percent tariff"
"20","Volkswagen","boasted","Jetta"
"20","Jetta","start","19,395"
"20","Jetta","equipped","equipped"
"21","1.4-liter TSI engine","producing","147 horsepower"
"21","1.4-liter TSI engine","producing","184 lb - ft of torque"
"22","SE Sport","with","1.8-liter TSI engine"
"23","Portland",",","Oregon"
"23","protesting","fixing","potholes "
"24","Portland Anarchist Road Care","attended","to fix"
"25","services","like","healthcare"
"26","us","At","New York Auto Show"
"27","Subaru Global Platform","underpins","the Forester"
"27","Subaru Global Platform","underpins","Impreza"
"27","Subaru Global Platform","underpins","Crosstrek"
"27","Subaru Global Platform","underpin","Outback"
"27","Subaru Global Platform","underpin","Legacy"
"27","Subaru Global Platform","underpin","WRX"
"27","Subaru Global Platform","underpin","WRX STI"
"28","IIHS","conducts","crash tests"
"28","crash tests","every","mainstream vehicle"
"29","Ford Escape","rating","poor"
"30","Volkswagen","’ s","diesel manipulation scandal"
"31","Dieter Zetsche",",","boss"
"31","boss","of","Daimler"
"31","Mercedes","parent company","Daimler"
"32","Mercedes","’","sales"
"33","3s","rear","-"
"33","3s","with","single electric motor"
"33","3s","with","long - range battery"
"34","Tesla","Tesla","CEO"
"34","the company","goal","5,000"
"34","goal","of","3s"
"35","Ken Block","interested","AWD"
"36","Focus RS","like","AWD"
"36","E63","like","AWD"
"37","test","conducted","RS3"
"37","test","conducted","A45"
"38","Aston Martin","announced","five - year trade"
"38","Aston Martin","announced","investment drive"
"38","five - year trade","in","China"
"38","investment drive","in","China"
"38","five - year trade","worth","600 million GBP"
"38","investment drive","worth","600 million GBP"
"39","China","saw","89 percent growth rate"
"40","Karl Benz","’ s","internal combustion three - wheeler"
"40","Benz Patent - Motorwagen",",","internal combustion three - wheeler"
"40","Mercedes - Benz","roots","Karl Benz"
"41","Mercedes - Benz","grown","range"
"41","range","every","size and shape"
"42","range - topping","named","S - Class"
"43","S - Class","debut","Technologies"
"43","Technologies","like","ABS"
"43","Technologies","like","airbags"
"44","National Corvette Museum","in","Kentucky"
"44","sinkhole","swallowed","eight historic one - off Corvettes"
"44","eight historic one - off Corvettes","at","National Corvette Museum"
"45","two of the Corvettes","were","restored"
"45","restored","by","General Motors"
"46","Corvette","restored","AutoZone Maintenance and Preservation Area"
"47","Jerry Seinfeld","selling","Porsche cars"
"47","Porsche cars","worth","10 million"
"47","Jerry Seinfeld","selling","auction"
"48","12-car set","part of","James G. Hascall Collection"
"49","Hascall",",","military - industrial defense contractor"
"50","Consumer Electronics Show","(","CES"
"50","Consumer Electronics Show","in","Las Vegas"
"50","executives",",","senior Hyundai"
"50","executives","confirmed","two - seat hybrid supercar"
"51","EMotion","at","CES"
"51","Fisker","revealed","EMotion"
"51","Fisker","’ s","new company"
"51","new company","’ s","Fisker Inc"
"51","the EMotion","is","mid - sized electric sedan"
"51","the EMotion","is","all - wheel drive"
"51","the EMotion","is","all - electric range"
"52","Model S P100D","has","range of 335 miles"
"53","LG Chem","leading","battery supplier"
"54","GoodCarBadCar","published","sales figures"
"54","sales figures","for","every vehicle"
"55","list","dominated by","pickup trucks"
"56","Ford F - Series","sold","896,764"
"56","Ram","sold","489,418"
"57","Full - size pickups","been","best selling vehicles"
"58","capable","on","single charge"
"59","64 kWh battery pack","powers","150 kW electric motor"
"59","150 kW electric motor","for","201 hp"
"60","Ford","launch","Bullitt Edition"
"60","Bullitt Edition","of","Mustang"
"61","Barrett Jackson","’","Scottsdale auction"
"61","Bullitt Edition","revealed","Scottsdale auction"
"62","Steve McQueen","star","Bullitt"
"62","Steve McQueen","drove","Mustang 390 GT"
"63","guy","selling","McLaren 720S"
"63","McLaren 720S","in","Bitcoin"
"64","Bitcoin","worth","14,600"
"65","Chiron","purchased","using Bitcoin"
"65","Huayra","purchased","using Bitcoin"
"66","Americano","with","Tempesta Package"
"66","Chiron","features","all - black exterior"
"66","Chiron","features","grey / black interior"
"67","Toyota and Mazda","announced","joint partnership"
"67","joint partnership","new","production plant"
"68","4,000 people","to","work"
"69","Kia","unveil","Forte"
"69","Forte","at","Detroit Auto Show"
"70","Mazda","Mazda","SkyActiv - X compression"
"71","Ferrari","’ s 40th Ferrari","1987"
"72","Pininfarina design","most iconic","Ferrari"
"73","GLC F - Cell","available only in","Germany"
"74","Tesla","launched","Model X"
"74","Tesla","launched","Model 3"
"74","Tesla","revealed the next","Roadster"
"74","Tesla","replaced","Elon Musk"
"75","Model X","to transport","seven occupants"
"76","Honda ’ s new manufacturing center","in","Ohio"
