index,s1,r,s2
0,Receiving,from,some acquaintance
0,Receiving,from,whom you
0,steady stream of unwanted text messages,from,some acquaintance
0,steady stream of unwanted text messages,from,whom you
0,some acquaintance,gave,number
0,whom you,gave,number
0,number,is,true nightmare scenario
0,A man,named,Jonathan Anozie
0,Jonathan Anozie,is living,nightmare
0,nightmare,reports,TMZ
0,nightmare,reports,offending creepster
0,TMZ,is,Papa John
0,offending creepster,is,Papa John
0,real-life Papa John ' s founder John Schnatter,sending,texts
0,real-life Papa John ' s founder John Schnatter,sending,automated marketing system
0,texts,for,pizza chain
0,automated marketing system,for,pizza chain
0,Anozie ' s mobile notifications,with,offers
0,Beverly Hills,is suing,pizza chain
0,California,is suing,pizza chain
0,resident,is suing,pizza chain
0,The lawsuit,filed in,United States District Court Central District of California
0,United States District Court Central District of California,claims,Anozie
0,Anozie,replied,STOP
0,STOP,on,multiple occasions
0,STOP,on,messages
0,frustration,caused,annoyance
0,The alleged deluge,caused,plaintiff
0,The alleged deluge,caused,significant amount of anxiety
0,The alleged deluge,caused,frustration
0,The alleged deluge,caused,annoyance
1,The chef,at,Denver airport
1,Fred Armisen,at,Denver airport
1,unifying sushi,that,anyone
1,anyone,can eat,nobody
1,chef Francis,specializing in,airport-style sushi
1,proprietor of Kuko,specializing in,airport-style sushi
1,Portland,specializing in,airport-style sushi
1,only restaurant,specializing in,airport-style sushi
1,His goal,is to serve,""" most borderline not-sushi sushi"
1,""" most borderline not-sushi sushi",in,world
1,sushi,makes,guests
1,The chef,played by,Fred Armisen
1,Fred Armisen,was inspired to open,restaurant
1,restaurant,by,meal
1,meal,at,Denver airport
1,meal,at,he first
1,Denver airport,discovered,sushi
1,he first,discovered,sushi
1,some-reason,crumbled in,hands
1,flavor,crumbled in,hands
1,no love,for,chef
1,Francis,is,star
1,star,of,Portlandia
1,star,of,hilarious Chef
1,Portlandia,s,Table parody
1,hilarious Chef,s,Table parody
1,Table parody,references,every stylistic trademark of David Gelb ' s
1,every stylistic trademark of David Gelb ' s,hit,Netflix series
1,This clip,has,everything
1,This clip,has,candid origin story
1,This clip,has,shots of chef
1,everything,walking through,nature
1,everything,walking through,frenetic dinner service
1,everything,walking through,lots of intense classical music
1,candid origin story,walking through,nature
1,candid origin story,walking through,frenetic dinner service
1,candid origin story,walking through,lots of intense classical music
1,shots of chef,walking through,nature
1,shots of chef,walking through,frenetic dinner service
1,shots of chef,walking through,lots of intense classical music
2,three hour-long waits,at,some bakeries
2,some bakeries,in,Hamtramck morning
2,Hamtramck morning,as,patrons
2,region,gathered to take,part
2,part,in,annual Paczki Day tradition of stand
2,past years Fat Tuesday,has fallen in,midst of extreme cold snap
2,past years Fat Tuesday,has fallen in,snow storm
2,past years Fat Tuesday,has fallen in,2017 ' s crowds
2,New Martha Washington Bakery,snaked through,shops
2,New Palace Bakery lines,snaked through,shops
2,shops,out,door
2,door,clear down,full city blocks
2,orders,get,crush of customers
2,crush of customers,out,door
2,Chris Gerard,stopped by,traditional fried Polish pastry epicenter today
2,Eater photographers Michelle,stopped by,metro Detroit
2,Eater photographers Michelle,stopped by,traditional fried Polish pastry epicenter today
2,Eater photographers Michelle,stopped by,scene
2,Chris Gerard,stopped by,metro Detroit
2,Chris Gerard,stopped by,scene
2,insane morning rush photos,in,gallery
3,McDonald ' s endeavor,in,U.S.
3,McDonald ' s endeavor,in,Canada
3,McDonald ' s endeavor,in,Europe
3,McDonald ' s endeavor,in,Brazil
3,The fast-food behemoth,in,U.S.
3,The fast-food behemoth,in,Canada
3,The fast-food behemoth,in,Europe
3,The fast-food behemoth,in,Brazil
3,Fortune,in,U.S.
3,Fortune,in,Canada
3,Fortune,in,Europe
3,Fortune,in,Brazil
3,U.S.,in,Canada
3,U.S.,in,Europe
3,U.S.,in,Brazil
3,McDonald ' s,in,U.S.
3,McDonald ' s,in,Canada
3,McDonald ' s,in,Europe
3,McDonald ' s,in,Brazil
3,McDonald ' s endeavor,may come as,bit of surprise
3,McDonald ' s endeavor,may come as,The fast-food behemoth
3,bit of surprise,is pursuing,sustainable beef
3,The fast-food behemoth,is pursuing,sustainable beef
3,Fortune,reports,sustainable beef
3,sustainable beef,is funding,two sustainable beef pilot programs
3,two sustainable beef pilot programs,in,U.S.
3,U.S.,following,years of tests
3,years of tests,in,Canada
3,years of tests,in,Europe
3,years of tests,in,Brazil
3,The first program,involves,research partnership
3,research partnership,with,agricultural nonprofit Noble Foundation
3,agricultural nonprofit Noble Foundation,will seek out,ways
3,ways,in,sustainability
3,sustainability,can be improved across,entire U.S. beef supply chain
3,The first program,is putting up,$ 4.5 million
3,The first program,is putting up,cattle-grazing practices
3,McDonald ' s,is putting up,$ 4.5 million
3,McDonald ' s,is putting up,cattle-grazing practices
3,net-negative carbon impact,according to,statement
3,statement,from,company
3,McDonald ' s,will eliminate,deforestation ( cutting down of forests to make room to raise cattle )
3,deforestation ( cutting down of forests to make room to raise cattle ),from,sustainable beef
4,chef/owner Ren é Redzepi,in,restaurant manager James Spreadbury
4,chef/owner Ren é Redzepi,in,service director Lau Richter
4,chef/owner Ren é Redzepi,in,dishwasher Ali Sonko
4,noma in edition,s,selfies
4,noma in edition,s,champagne showers
4,selfies,at,Noma
4,selfies,at,acclaimed Copenhagen restaurant
4,champagne showers,at,Noma
4,champagne showers,at,acclaimed Copenhagen restaurant
4,Noma,closed,doors
4,acclaimed Copenhagen restaurant,closed,doors
4,doors,to,original location few days ago
4,chef/owner Ren é Redzepi,makes,plans
4,plans,for,what next iteration
4,what next iteration,will bring,chef/owner Ren é Redzepi
4,chef/owner Ren é Redzepi,has announced,partners
4,partners,in,restaurant
4,partners,in,restaurant manager James Spreadbury
4,partners,in,service director Lau Richter
4,partners,in,dishwasher Ali Sonko
4,chef/owner Ren é Redzepi,plans to gift,pieces
4,pieces,of,walls of Noma 1.0
4,walls of Noma 1.0,to,various staff members
4,New partners,close,doors
4,doors,to,Noma 1.0
4,doors,to,New partners
4,Noma 1.0,push towards,next rendition
4,New partners,push towards,next rendition
4,New partners,will open,doors
4,doors,to,space
4,space,at,end of year
4,New partners,are,you noma
4,you noma,in,edition
4,edition,will have,handful of partners
4,noma in edition,gives,me incredible joy
4,noma in edition,gives,world
4,me incredible joy,know that,restaurant managers Lau
4,me incredible joy,know that,James
4,me incredible joy,know that,dishwasher
4,me incredible joy,know that,Ali
4,world,know that,restaurant managers Lau
4,world,know that,James
4,world,know that,dishwasher
4,world,know that,Ali
4,restaurant managers Lau,have become,partners
4,James,have become,partners
4,dishwasher,have become,partners
4,Ali,have become,partners
4,partners,in,noma
4,only beginning,as,New partners
4,staff,with,piece of walls
5,A financial analyst,told,Reuters expansion
5,Reuters expansion,to,U.K.
5,U.K.,would be,""" logical step"
5,""" logical step",for,Amazon
5,Amazon,employed,same survey strategy
5,same survey strategy,before debuting,stateside
5,same survey strategy,before debuting,These stealth tactics
5,United States,launch,U.K.
5,similar,launch,U.K.
5,first international market,at,Aviate Global
5,Neil Campling,at,Aviate Global
5,senior analyst,at,Aviate Global
5,Aviate Global,told,Reuters
6,The AP 's report centers,in,Saudi Arabia
6,The AP 's report centers,in,capital city of Riyadh
6,popular Iranian restaurant chain,in,Saudi Arabia
6,popular Iranian restaurant chain,in,capital city of Riyadh
6,Shayah,in,Saudi Arabia
6,Shayah,in,capital city of Riyadh
6,The AP 's report centers,on,popular Iranian restaurant chain
